GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000412675.1	707648	GCF_000412675.1	707668	
GCA_006094375.1	10959768	GCF_006094375.1	11020258	
GCA_000007125.1	7928	GCF_000007125.1	28708	
GCA_000013285.1	14088	GCF_000013285.1	34388	
GCA_000010505.1	11308	GCF_000010505.1	31988	
GCA_000832905.1	1514028	GCF_000832905.1	1525468	
GCA_019048385.1	27595108	GCF_019048385.1	27603558	
GCA_000306945.1	447208	GCF_000306945.1	447228	
GCA_014131755.1	21503358	GCF_014131755.1	21562288	
GCA_000146165.2	458008	GCF_000146165.2	458028	
GCA_016026695.1	23870278	GCF_016026695.1	23949108	
GCA_000023205.1	24008	GCF_000023205.1	43988	
GCA_000829055.1	1504838	GCF_000829055.1	1507508	
GCA_900560965.1	8846688	GCF_900560965.1	8970758	
GCA_001457455.1	2704098	GCF_001457455.1	2845118	
GCA_018223745.1	26555938	GCF_018223745.1	26693598	
GCA_000091545.1	112178	GCF_000091545.1	113978	
GCA_000007505.1	8308	GCF_000007505.1	29088	
GCA_001729805.1	3449178	GCF_001729805.1	3456278	
GCA_000083545.1	353808	GCF_000083545.1	102208	
GCA_001457555.1	2704238	GCF_001457555.1	2715948	
GCA_900637025.1	8122558	GCF_900637025.1	8155078	
GCA_004799605.1	9344738	GCF_004799605.1	9417808	
GCA_000007925.1	8728	GCF_000007925.1	29508	
GCA_000204255.1	266488	GCF_000204255.1	371638	
GCA_000007805.1	8608	GCF_000007805.1	29388	
GCA_002706795.1	5560408	GCF_002706795.1	5592198	
GCA_000007985.2	419268	GCF_000007985.2	419288	
GCA_001750725.1	3479958	GCF_001750725.1	3480998	
GCA_002982115.1	6189238	GCF_002982115.1	6239538	
GCA_003641185.1	7568648	GCF_003641185.1	7600928	
GCA_900660465.1	8460568	GCF_900660465.1	8524838	
GCA_004101845.1	8330098	GCF_004101845.1	8334388	
GCA_001558415.2	6032858	GCF_001558415.2	6053228	
GCA_000236925.1	318468	GCF_000236925.1	445138	
GCA_002813755.1	5715818	GCF_002813755.1	5735178	
GCA_000025685.1	26488	GCF_000025685.1	110228	
GCA_000018525.1	19328	GCF_000018525.1	39608	
GCA_002945325.1	6088328	GCF_002945325.1	6150998	
GCA_000062885.1	353948	GCF_000062885.1	81488	
GCA_018323985.1	26659168	GCF_018323985.1	26725828	
GCA_000697965.2	3300028	GCF_000697965.2	3314428	
GCA_001006005.1	1771468	GCF_001006005.1	1772248	
GCA_001020205.1	1798168	GCF_001020205.1	1800558	
GCA_900637845.1	8123838	GCF_900637845.1	8151498	
GCA_017724035.1	25986728	GCF_017724035.1	26076418	
GCA_000157895.2	856238	GCF_000157895.3	856258	
GCA_900637055.1	8122598	GCF_900637055.1	8153858	
GCA_004792415.1	9297568	GCF_004792415.1	9301228	
GCA_001700985.1	3376298	GCF_001700985.1	3381098	
GCA_900475975.1	6715868	GCF_900475975.1	6724418	
GCA_000009765.2	3140618	GCF_000009765.2	3192468	
GCA_001632805.1	3211138	GCF_001632805.1	3279698	
GCA_001314995.1	2393038	GCF_001314995.1	2815248	
GCA_003814405.1	7903978	GCF_003814405.1	7920688	
GCA_008245085.1	13577378	GCF_008245085.1	13760698	
GCA_002243645.1	4909178	GCF_002243645.1	4911988	
GCA_000012765.1	13568	GCF_000012765.1	33868	
GCA_000016765.1	17568	GCF_000016765.1	37868	
GCA_000196175.1	256998	GCF_000196175.1	264638	
GCA_000007205.1	8008	GCF_000007205.1	28788	
GCA_000019345.1	20148	GCF_000019345.1	40388	
GCA_000020025.1	20828	GCF_000020025.1	41068	
GCA_003015715.1	6289038	GCF_003015715.1	6306058	
GCA_000179635.2	240918	GCF_000179635.2	317538	
GCA_000021925.1	22728	GCF_000021925.1	42908	
GCA_009662475.1	15408338	GCF_009662475.1	15415608	
GCA_001042595.1	1848758	GCF_001042595.1	1852248	
GCA_000019725.1	20528	GCF_000019725.1	40768	
GCA_002812485.1	5709018	GCF_002812485.1	5717018	
GCA_000230655.3	885068	GCF_000230655.2	885088	
GCA_001298465.1	2343758	GCF_001298465.1	2345048	
GCA_001456255.1	2702848	GCF_001456255.1	4055588	
GCA_000007085.1	7888	GCF_000007085.1	28668	
GCA_000007345.1	8148	GCF_000007345.1	28928	
GCA_000330885.1	521738	GCF_000330885.1	521818	
GCA_000763515.1	1349918	GCF_000763515.1	1491598	
GCA_000016525.1	17328	GCF_000016525.1	37628	
GCA_015074805.1	22735348	GCF_015074805.1	22824398	
GCA_001028665.1	1808508	GCF_001028665.1	1819838	
GCA_900474605.1	6712508	GCF_900474605.1	6726098	
GCA_000011965.2	875108	GCF_000011965.2	875128	
GCA_008153345.1	13479638	GCF_008153345.1	13576078	
GCA_002288285.1	4994308	GCF_002288285.1	4995408	
GCA_016028795.1	23872378	GCF_016028795.1	23950668	
GCA_001484725.1	2754338	GCF_001484725.1	2782388	
GCA_000009965.1	10768	GCF_000009965.1	31468	
GCA_000012345.1	13148	GCF_000012345.1	33448	
GCA_000016645.1	17448	GCF_000016645.1	37748	
GCA_009831375.1	15732558	GCF_009831375.1	15825338	
GCA_000223905.1	299768	GCF_000223905.1	302978	
GCA_002706745.1	5560368	GCF_002706745.1	5590558	
GCA_000006685.1	7488	GCF_000006685.1	28268	
GCA_004295125.1	8644208	GCF_004295125.1	8649398	
GCA_000017445.3	1526588	GCF_000017445.4	1854918	
GCA_900636915.1	8122338	GCF_900636915.1	8152498	
GCA_000807675.2	4344188	GCF_000807675.2	4347028	
GCA_001411805.1	2511308	GCF_001411805.1	2512208	
GCA_000953635.1	1684698	GCF_000953635.1	1689688	
GCA_001687625.2	3689528	GCF_001687625.2	3690348	
GCA_001553955.1	2868708	GCF_001553955.1	3139398	
GCA_008824185.1	14232738	GCF_008824185.1	14287828	
GCA_000284295.1	408118	GCF_000284295.1	408138	
GCA_000146505.1	169038	GCF_000146505.1	375498	
GCA_000961515.1	1705068	GCF_000961515.1	1748628	
GCA_010508875.1	16654388	GCF_010508875.1	17306978	
GCA_000018145.1	18948	GCF_000018145.1	39248	
GCA_001025195.1	1804708	GCF_001025195.1	1818378	
GCA_000196115.1	256938	GCF_000196115.1	264578	
GCA_000340885.1	552168	GCF_000340885.1	552188	
GCA_000022325.1	23128	GCF_000022325.1	43268	
GCA_003660105.1	7587578	GCF_003660105.1	7606608	
GCA_900475445.1	6714348	GCF_900475445.1	6724758	
GCA_008704425.1	14078338	GCF_008704425.1	14131868	
GCA_000019945.1	20748	GCF_000019945.1	40988	
GCA_900537995.1	8843368	GCF_900537995.1	8970618	
GCA_000513295.1	885928	GCF_000513295.1	886438	
GCA_000025925.1	26728	GCF_000025925.1	110908	
GCA_000478885.1	822418	GCF_000478885.1	822438	
GCA_000027145.1	27948	GCF_000027145.1	109748	
GCA_000470775.1	787508	GCF_000470775.1	789098	
GCA_000023145.1	23948	GCF_000023145.1	43948	
GCA_000013345.1	14148	GCF_000013345.1	34448	
GCA_000230695.3	556718	GCF_000230695.2	560798	
GCA_002310835.1	5026008	GCF_002310835.1	5029788	
GCA_001941345.1	3959318	GCF_001941345.1	3970688	
GCA_014131715.1	21503298	GCF_014131715.1	21562928	
GCA_016026735.1	23870318	GCF_016026735.1	23949048	
GCA_002849715.1	5827248	GCF_002849715.1	5854798	
GCA_012317185.1	18707488	GCF_012317185.1	18902648	
GCA_001719165.1	3434228	GCF_001719165.1	3437248	
GCA_013046825.1	19518188	GCF_013046825.1	19554268	
GCA_016728365.1	24677998	GCF_016728365.1	24723928	
GCA_008705175.1	14079268	GCF_008705175.1	15515628	
GCA_010727605.1	16874438	GCF_010727605.1	17318278	
GCA_001038625.1	1832958	GCF_001038625.1	1834548	
GCA_004117055.1	8359678	GCF_004117055.1	8465058	
GCA_008801925.2	22736508	GCF_008801925.2	22824578	
GCA_005406325.1	10023018	GCF_005406325.1	10184198	
GCA_900187105.1	4960308	GCF_900187105.1	4964438	
GCA_900660725.1	8461088	GCF_900660725.1	8525878	
GCA_000012925.1	13728	GCF_000012925.1	34028	
GCA_000055785.1	353398	GCF_000055785.1	74368	
GCA_900638015.1	8124198	GCF_900638015.1	8150578	
GCA_016127255.1	24000788	GCF_016127255.1	24053448	
GCA_000008305.1	9108	GCF_000008305.1	29888	
GCA_000981585.1	1741118	GCF_000981585.1	1747818	
GCA_000145235.1	167478	GCF_000145235.1	274678	
GCA_000010665.1	11468	GCF_000010665.1	32148	
GCA_001742185.1	3465018	GCF_001742185.1	3465978	
GCA_000017305.1	18108	GCF_000017305.1	38408	
GCA_000772105.1	1369538	GCF_000772105.1	1517388	
GCA_002706425.1	5559998	GCF_002706425.1	5591158	
GCA_004803815.1	9375058	GCF_004803815.1	19772858	
GCA_000027325.1	28128	GCF_000027325.1	45908	
GCA_000331185.2	25687838	GCF_000331185.2	25716578	
GCA_001655245.1	3283538	GCF_001655245.1	3294188	
GCA_000176855.2	245558	GCF_000176855.2	249868	
GCA_001277215.2	2789508	GCF_001277215.2	2793458	
GCA_000284615.1	408718	GCF_000284615.1	408738	
GCA_000012805.1	13608	GCF_000012805.1	33908	
GCA_000196435.1	257258	GCF_000196435.1	264858	
GCA_001584145.1	2939648	GCF_001584145.1	2942718	
GCA_000973105.1	1728598	GCF_000973105.1	1728678	
GCA_001465595.2	3768978	GCF_001465595.2	3833288	
GCA_001658025.2	25859988	GCF_001658025.2	25905418	
GCA_002356315.1	5089188	GCF_002356315.1	5108988	
GCA_001682385.1	3335298	GCF_001682385.1	3339358	
GCA_001975665.1	4018408	GCF_001975665.1	4057188	
GCA_003367705.1	7049198	GCF_003367705.1	7077738	
GCA_003606265.1	7513968	GCF_003606265.1	7530928	
GCA_003860565.1	7983298	GCF_003860565.1	7989798	
GCA_002080395.1	4342718	GCF_002080395.1	4351138	
GCA_001886855.1	3745378	GCF_001886855.1	3766408	
GCA_000196675.1	257498	GCF_000196675.1	278218	
GCA_000014885.1	15688	GCF_000014885.1	35988	
GCA_019669905.1	28443498	GCF_019669905.1	28494468	
GCA_003015125.1	6288458	GCF_003015125.1	6307038	
GCA_000016065.1	16868	GCF_000016065.1	37168	
GCA_900478045.1	6716208	GCF_900478045.1	6723698	
GCA_016127475.1	24001008	GCF_016127475.1	24050548	
GCA_900475675.1	6715448	GCF_900475675.1	6725138	
GCA_001267885.1	2240228	GCF_001267885.1	2292118	
GCA_002234575.2	5025528	GCF_002234575.2	5029848	
GCA_000067205.1	353208	GCF_000067205.1	85808	
GCA_000473995.1	793078	GCF_000473995.1	822518	
GCA_000143685.1	166278	GCF_000143685.1	274418	
GCA_000022025.1	22828	GCF_000022025.1	43008	
GCA_000013325.1	14128	GCF_000013325.1	34428	
GCA_000008185.1	8988	GCF_000008185.1	29768	
GCA_000724605.1	1164678	GCF_000724605.1	1515038	
GCA_013372125.1	20139858	GCF_013372125.1	20156838	
GCA_000195915.1	256738	GCF_000195915.1	264378	
GCA_017916255.1	26208128	GCF_017916255.1	26314348	
GCA_003584745.1	7475278	GCF_003584745.1	7487088	
GCA_000020125.1	20928	GCF_000020125.1	41168	
GCA_002009335.2	4192528	GCF_002009335.2	4195918	
GCA_000317675.1	504408	GCF_000317675.1	504498	
GCA_000021325.1	22128	GCF_000021325.1	42348	
GCA_000197735.1	258558	GCF_000197735.1	265278	
GCA_000013025.1	13828	GCF_000013025.1	34128	
GCA_000182745.1	356218	GCF_000182745.2	357288	
GCA_000009365.1	10168	GCF_000009365.1	30908	
GCA_000172995.2	240658	GCF_000172995.2	317518	
GCA_000022905.1	23708	GCF_000022905.1	43728	
GCA_000304355.2	1715918	GCF_000304355.2	1719238	
GCA_000007225.1	8028	GCF_000007225.1	28808	
GCA_900186975.1	4959908	GCF_900186975.1	4964858	
GCA_000092785.1	113418	GCF_000092785.1	165118	
GCA_001025155.1	1804668	GCF_001025155.1	1818358	
GCA_001042675.1	1848838	GCF_001042675.1	1852268	
GCA_000007025.1	7828	GCF_000007025.1	28608	
GCA_000024005.1	24808	GCF_000024005.1	44628	
GCA_003711105.1	7729388	GCF_003711105.1	7776928	
GCA_001887595.1	3746318	GCF_001887595.1	3766308	
GCA_000023865.1	24668	GCF_000023865.1	44488	
GCA_000196875.2	6542498	GCF_000196875.2	6565738	
GCA_000020385.1	21188	GCF_000020385.1	41428	
GCA_000010265.1	11068	GCF_000010265.1	31768	
GCA_000190595.1	247378	GCF_000190595.1	276128	
GCA_000202835.1	353068	GCF_000202835.1	263258	
GCA_014131675.1	21503258	GCF_014131675.1	21559828	
GCA_000012725.1	13528	GCF_000012725.1	33828	
GCA_000024845.1	25648	GCF_000024845.1	104908	
GCA_900637655.1	8123458	GCF_900637655.1	8152278	
GCA_000023965.1	24768	GCF_000023965.1	44588	
GCA_000024285.1	25088	GCF_000024285.1	44848	
GCA_000008465.1	9268	GCF_000008465.1	30048	
GCA_000739435.1	1187558	GCF_000739435.1	1489928	
GCA_000016345.1	17148	GCF_000016345.1	37448	
GCA_003544835.1	7412518	GCF_003544835.1	7421348	
GCA_013372165.1	20139898	GCF_013372165.1	20157338	
GCA_000024565.1	25368	GCF_000024565.1	105088	
GCA_002139935.1	4476868	GCF_002139935.1	5704218	
GCA_000007485.1	8288	GCF_000007485.1	29068	
GCA_015291705.1	22979758	GCF_015291705.1	23055508	
GCA_008704795.1	14078818	GCF_008704795.1	14131988	
GCA_006716135.1	11778948	GCF_006716135.1	11981838	
GCA_013389765.1	20253868	GCF_013389765.1	20284448	
GCA_003945385.1	8089948	GCF_003945385.1	8107978	
GCA_008932115.1	14361658	GCF_008932115.1	14457958	
GCA_002762215.1	5628198	GCF_002762215.1	5634678	
GCA_002240415.1	4900768	GCF_002240415.1	4906288	
GCA_010731695.1	16878528	GCF_010731695.1	17316738	
GCA_001605725.1	3153578	GCF_001605725.1	3154598	
GCA_008728195.1	14134688	GCF_008728195.1	14270298	
GCA_001314325.1	2391258	GCF_001314325.1	2394648	
GCA_003258315.1	6697178	GCF_003258315.1	6707298	
GCA_019047765.1	27594488	GCF_019047765.1	27609078	
GCA_007995155.1	13192628	GCF_007995155.1	13204588	
GCA_012427845.1	18819628	GCF_012427845.1	18912168	
GCA_018075365.1	26381088	GCF_018075365.1	26413148	
GCA_018736065.1	27225828	GCF_018736065.1	27291308	
GCA_017352135.1	25546328	GCF_017352135.1	25549588	
GCA_009176645.1	14640498	GCF_009176645.1	14653228	
GCA_000833025.1	1514148	GCF_000833025.1	1516808	
GCA_003096095.1	6456638	GCF_003096095.1	6459918	
GCA_015476235.1	23191178	GCF_015476235.1	23191708	
GCA_002844395.1	5797328	GCF_002844395.1	5810978	
GCA_000012945.1	13748	GCF_000012945.1	34048	
GCA_001482365.1	2744708	GCF_001482365.1	2753468	
GCA_000599985.1	974808	GCF_000599985.1	1511288	
GCA_003628755.1	7555758	GCF_003628755.1	7606228	
GCA_003966655.1	8125508	GCF_003966655.1	8159478	
GCA_003544855.1	7412538	GCF_003544855.1	7422628	
GCA_013177435.1	19716208	GCF_013177435.1	19748888	
GCA_004564075.1	9029968	GCF_004564075.1	9091578	
GCA_001685435.3	3754088	GCF_001685435.2	3861498	
GCA_003012915.1	6266668	GCF_003012915.1	6284378	
GCA_000816085.1	1465508	GCF_000816085.1	1502428	
GCA_900478035.1	6716228	GCF_900478035.1	6724538	
GCA_016028295.1	23871898	GCF_016028295.1	23949148	
GCA_001761545.1	3509188	GCF_001761545.1	3514068	
GCA_000699505.1	1104858	GCF_000699505.1	1510768	
GCA_900660515.1	8460648	GCF_900660515.1	8523738	
GCA_016772475.1	24783248	GCF_016772475.1	24786108	
GCA_900638215.1	8124578	GCF_900638215.1	8160158	
GCA_002263495.1	4945898	GCF_002263495.1	4954238	
GCA_001936175.1	3942908	GCF_001936175.1	3953278	
GCA_018966525.1	27485028	GCF_018966525.1	27538258	
GCA_009769165.1	15648108	GCF_009769165.1	15727048	
GCA_008931805.1	14358048	GCF_008931805.1	14458438	
GCA_000968535.1	1720178	GCF_000968535.2	1854798	
GCA_900475855.1	6715628	GCF_900475855.1	6726498	
GCA_001955715.1	3989308	GCF_001955715.1	4005858	
GCA_000968195.1	1719188	GCF_000968195.1	1719768	
GCA_009646115.1	15233308	GCF_009646115.1	15298528	
GCA_000767465.1	1362968	GCF_000767465.1	1514268	
GCA_000230715.3	507388	GCF_000230715.2	516658	
GCA_002902965.1	5955898	GCF_002902965.1	5966448	
GCA_007970465.1	13162318	GCF_007970465.1	13205728	
GCA_000019905.1	20708	GCF_000019905.1	40948	
GCA_016724805.1	24674268	GCF_016724805.1	24708628	
GCA_000196895.1	257718	GCF_000196895.1	265258	
GCA_003444775.1	7270758	GCF_003444775.1	7358598	
GCA_000208405.1	270768	GCF_000208405.1	274118	
GCA_008151785.1	13478128	GCF_008151785.1	13575678	
GCA_013340845.1	20066678	GCF_013340845.1	20070518	
GCA_900638305.1	8124698	GCF_900638305.1	8154658	
GCA_000504105.1	868158	GCF_000504105.1	868178	
GCA_900476255.1	6716748	GCF_900476255.1	6726598	
GCA_900475915.1	6716288	GCF_900475915.1	6725678	
GCA_000164905.1	199818	GCF_000164905.1	369508	
GCA_000091665.1	112298	GCF_000091665.1	114038	
GCA_000018465.1	19268	GCF_000018465.1	39548	
GCA_018394055.1	26775008	GCF_018394055.1	26885538	
GCA_000017945.1	18748	GCF_000017945.1	39048	
GCA_900476125.1	7186448	GCF_900476125.1	7259638	
GCA_900660695.1	8461028	GCF_900660695.1	8526678	
GCA_002305895.1	5017248	GCF_002305895.1	5022088	
GCA_900637185.1	8122878	GCF_900637185.1	8153058	
GCA_000018105.1	18908	GCF_000018105.1	39208	
GCA_000756615.1	1302118	GCF_000756615.1	1522888	
GCA_000018685.1	19488	GCF_000018685.1	39748	
GCA_000192865.1	250488	GCF_000192865.1	251878	
GCA_001277175.1	2304668	GCF_001277175.1	2306978	
GCA_000340435.3	2579688	GCF_000340435.2	2581638	
GCA_001951155.1	3973518	GCF_001951155.1	4370538	
GCA_001955735.1	3989328	GCF_001955735.1	4005878	
GCA_001444405.1	2685528	GCF_001444405.1	2689148	
GCA_016026395.1	23869978	GCF_016026395.1	23949928	
GCA_000218565.1	290348	GCF_000218565.1	292128	
GCA_000800395.1	1419568	GCF_000800395.1	1489508	
GCA_000025485.1	26288	GCF_000025485.1	109148	
GCA_000210915.2	516838	GCF_000210915.2	516858	
GCA_001050115.1	1860778	GCF_001050115.1	1861748	
GCA_006364355.1	11348308	GCF_006364355.1	11514248	
GCA_000014185.1	14988	GCF_000014185.1	35288	
GCA_001547995.1	2859358	GCF_001547995.1	3138158	
GCA_001042635.1	1848798	GCF_001042635.1	1852348	
GCA_000011305.1	288688	GCF_000011305.1	32468	
GCA_900187295.1	4960408	GCF_900187295.1	4964478	
GCA_000331995.1	525108	GCF_000331995.1	525308	
GCA_011067105.1	17361248	GCF_011067105.1	17371048	
GCA_900187045.1	4960168	GCF_900187045.1	4963698	
GCA_000600005.1	974838	GCF_000600005.1	1512508	
GCA_900187235.1	4960568	GCF_900187235.1	4963898	
GCA_000019085.1	19888	GCF_000019085.1	40148	
GCA_007990545.2	15961488	GCF_007990545.2	20120878	
GCA_005221285.1	9824278	GCF_005221285.1	9839188	
GCA_001543285.1	2853868	GCF_001543285.1	2855008	
GCA_900637515.1	8123238	GCF_900637515.1	8153198	
GCA_016889385.1	25005848	GCF_016889385.1	25023508	
GCA_001543175.1	2853758	GCF_001543175.1	2854788	
GCA_000018945.1	19748	GCF_000018945.1	40008	
GCA_000018365.1	19168	GCF_000018365.1	39448	
GCA_000011125.1	11928	GCF_000011125.1	32288	
GCA_001543105.1	2853688	GCF_001543105.1	2854768	
GCA_001936335.1	3943068	GCF_001936335.1	3953098	
GCA_000012085.2	4674958	GCF_000012085.2	4676228	
GCA_000255295.1	365098	GCF_000255295.1	368378	
GCA_000023125.1	23928	GCF_000023125.1	43928	
GCA_000026105.1	26908	GCF_000026105.1	45068	
GCA_001908725.1	3844818	GCF_001908725.1	3872858	
GCA_000731315.1	1175778	GCF_000731315.1	1512268	
GCA_001277235.1	2304728	GCF_001277235.1	2307098	
GCA_000092225.1	112858	GCF_000092225.1	164498	
GCA_001277195.1	2304688	GCF_001277195.1	2306938	
GCA_000212695.1	280638	GCF_000212695.1	281648	
GCA_000264765.2	1187188	GCF_000264765.2	1497378	
GCA_000022065.1	22868	GCF_000022065.1	43048	
GCA_000184685.1	238398	GCF_000184685.1	267008	
GCA_000355675.1	575238	GCF_000355675.1	575258	
GCA_000238395.4	5025968	GCF_000238395.3	5030288	
GCA_000568815.1	942948	GCF_000568815.1	1514728	
GCA_000018885.1	19688	GCF_000018885.1	39948	
GCA_000093025.1	113658	GCF_000093025.1	164878	
GCA_000016545.1	17348	GCF_000016545.1	37648	
GCA_000024185.1	24988	GCF_000024185.1	108268	
GCA_000022205.1	23008	GCF_000022205.1	43168	
GCA_000023285.1	24088	GCF_000023285.1	44068	
GCA_000164695.2	255828	GCF_000164695.2	441468	
GCA_002951835.1	6097448	GCF_002951835.1	6162288	
GCA_000023325.1	24128	GCF_000023325.1	44088	
GCA_000235405.3	367748	GCF_000235405.2	368598	
GCA_000016845.1	17648	GCF_000016845.1	37948	
GCA_000143845.1	166418	GCF_000143845.1	274478	
GCA_000144405.1	166958	GCF_000144405.1	274518	
GCA_000195935.2	860748	GCF_000195935.2	445498	
GCA_000008645.1	9448	GCF_000008645.1	30228	
GCA_000284075.1	407678	GCF_000284075.1	407698	
GCA_900660615.1	8460888	GCF_900660615.1	8525738	
GCA_000200735.1	261558	GCF_000200735.1	265418	
GCA_001027285.1	1807048	GCF_001027285.1	1819138	
GCA_001302585.1	2362748	GCF_001302585.1	2364358	
GCA_001542625.2	3331088	GCF_001542625.1	3398568	
GCA_017639205.1	25886888	GCF_017639205.1	25912618	
GCA_010119975.1	16214638	GCF_010119975.1	16509148	
GCA_001013905.1	1787218	GCF_001013905.1	1788318	
GCA_002355595.1	5088468	GCF_002355595.1	5109828	
GCA_002157835.1	4530248	GCF_002157835.1	4539028	
GCA_004114975.1	8357698	GCF_004114975.1	8378768	
GCA_002240355.1	4900708	GCF_002240355.1	4906988	
GCA_000758725.1	1304838	GCF_000758725.1	1514588	
GCA_003614435.1	7531708	GCF_003614435.1	7556278	
GCA_002234535.1	4843518	GCF_002234535.1	4895098	
GCA_018398935.1	26780178	GCF_018398935.1	26891778	
GCA_001594225.2	5815208	GCF_001594225.2	22252998	
GCA_002162375.1	4540468	GCF_002162375.1	4545068	
GCA_002355435.1	5088308	GCF_002355435.1	5107328	
GCA_001747425.1	3472678	GCF_001747425.1	3476388	
GCA_010726085.1	16872978	GCF_010726085.1	17316378	
GCA_001465545.3	3689668	GCF_001465545.3	3690608	
GCA_003584645.1	7475178	GCF_003584645.1	7489708	
GCA_002119765.1	4455918	GCF_002119765.1	4499418	
GCA_000968375.1	1719478	GCF_000968375.1	1721598	
GCA_010977555.1	17215888	GCF_010977555.1	17302638	
GCA_003096175.1	6456718	GCF_003096175.1	6460238	
GCA_003722335.1	7784668	GCF_003722335.1	7801798	
GCA_008329645.1	13665468	GCF_008329645.1	13742898	
GCA_000972785.3	3328398	GCF_000972785.3	3329808	
GCA_002291425.1	4998408	GCF_002291425.1	5014518	
GCA_004358345.1	8762898	GCF_004358345.1	8766178	
GCA_000973725.1	1729268	GCF_000973725.1	1731638	
GCA_014218335.1	21646048	GCF_014218335.1	21680108	
GCA_017894385.1	26171288	GCF_017894385.1	26185948	
GCA_002291445.1	4998428	GCF_002291445.1	5014058	
GCA_001421015.2	4530228	GCF_001421015.2	4538988	
GCA_000522985.1	896528	GCF_000522985.1	6022668	
GCA_002263515.1	4945918	GCF_002263515.1	4953498	
GCA_001029105.3	3689628	GCF_001029105.3	3690788	
GCA_018736045.1	27225808	GCF_018736045.1	27291268	
GCA_002075795.1	4327548	GCF_002075795.1	4334978	
GCA_900635955.1	8120368	GCF_900635955.1	8152098	
GCA_002201795.1	4616198	GCF_002201795.1	4624378	
GCA_001611675.1	3160838	GCF_001611675.1	3408958	
GCA_011068285.1	17374888	GCF_011068285.1	17950128	
GCA_019670005.1	28443638	GCF_019670005.1	28494888	
GCA_001273775.1	2298458	GCF_001273775.1	2300298	
GCA_002080475.1	4342798	GCF_002080475.1	4346708	
GCA_002355335.1	5088208	GCF_002355335.1	5107348	
GCA_003368325.1	7049638	GCF_003368325.1	7079198	
GCA_000819565.1	1478758	GCF_000819565.1	1645028	
GCA_002285635.2	5610298	GCF_002285635.2	5616378	
GCA_001017775.3	3768998	GCF_001017775.3	3833208	
GCA_017894365.1	26171268	GCF_017894365.1	26185928	
GCA_002770595.1	5643318	GCF_002770595.1	5655778	
GCA_003970735.1	8129988	GCF_003970735.1	8185288	
GCA_013488225.1	20499038	GCF_013488225.1	20699758	
GCA_000730385.1	1174758	GCF_000730385.1	1646898	
GCA_003815915.1	7905498	GCF_003815915.1	7933098	
GCA_002101395.1	4388488	GCF_002101395.1	4402198	
GCA_009931115.1	15952638	GCF_009931115.1	16186828	
GCA_001042715.1	1848878	GCF_001042715.1	1852988	
GCA_011399095.1	17736558	GCF_011399095.1	19789258	
GCA_002355375.1	5088248	GCF_002355375.1	5109168	
GCA_005952805.1	10814388	GCF_005952805.1	10998588	
GCA_001007935.1	1774978	GCF_001007935.1	1776008	
GCA_902502825.2	22991118	GCF_902502825.2	23055468	
GCA_011046555.1	17326738	GCF_011046555.1	17346818	
GCA_001302565.1	2362728	GCF_001302565.1	2850518	
GCA_001414055.1	2515768	GCF_001414055.1	3137978	
GCA_014784055.1	22355908	GCF_014784055.1	22376238	
GCA_002224645.1	4833608	GCF_002224645.1	4863308	
GCA_001922305.1	3923958	GCF_001922305.1	3924548	
GCA_003590145.2	23597658	GCF_003590145.2	23671208	
GCA_001402875.1	2501888	GCF_001402875.1	2510848	
GCA_003355475.1	7009158	GCF_003355475.1	7031578	
GCA_008932245.1	14361878	GCF_008932245.1	14457458	
GCA_001187785.1	2030998	GCF_001187785.1	2031598	
GCA_002157205.1	4525258	GCF_002157205.1	4530368	
GCA_001028705.1	1808548	GCF_001028705.1	1818978	
GCA_014681765.1	22238618	GCF_014681765.1	22296528	
GCA_002221505.1	4745038	GCF_002221505.1	4788768	
GCA_003966975.1	8125908	GCF_003966975.1	8154158	
GCA_002009235.1	4164408	GCF_002009235.1	4167508	
GCA_001465835.2	2856348	GCF_001465835.2	3140518	
GCA_006337125.1	11215778	GCF_006337125.1	11389028	
GCA_003856835.1	7978468	GCF_003856835.1	7990198	
GCA_000953655.1	1684718	GCF_000953655.1	1689728	
GCA_017161425.1	25321228	GCF_017161425.1	25388268	
GCA_001971705.1	4013788	GCF_001971705.1	4123418	
GCA_001008165.2	2314368	GCF_001008165.2	2325108	
GCA_011046895.1	17327058	GCF_011046895.1	17372008	
GCA_002804065.1	5697288	GCF_002804065.1	5711098	
GCA_002504165.1	5268568	GCF_002504165.1	5317198	
GCA_001455205.1	2701448	GCF_001455205.1	3143818	
GCA_004135935.1	8395258	GCF_004135935.1	8434278	
GCA_900638245.1	8124638	GCF_900638245.1	8151318	
GCA_001507665.1	2779908	GCF_001507665.1	3138058	
GCA_000355765.4	4785928	GCF_000355765.4	4831748	
GCA_000024825.1	25628	GCF_000024825.1	104608	
GCA_001187845.1	2031058	GCF_001187845.1	2036578	
GCA_009938225.1	15961338	GCF_009938225.1	16192248	
GCA_900637895.1	8123938	GCF_900637895.1	8151178	
GCA_000260985.3	4785728	GCF_000260985.4	4831328	
GCA_900005615.1	4926268	GCF_900005615.1	5701878	
GCA_004011095.1	8217018	GCF_004011095.1	8230068	
GCA_001308265.1	2384628	GCF_001308265.1	3138598	
GCA_006459125.1	11475908	GCF_006459125.1	11541528	
GCA_002278075.1	4972798	GCF_002278075.1	4985648	
